Generiere Wunschliste mit 1000 Wuenschen...
Geschenk generiert: #0 | Dicker Pullover [0.34](Eleganz: 15)
 --> Robuster Nussknacker [6.91]
Gelber Wichtel MUSETITAZ bearbeitet nun #97 
 --> Interessantes Brettspiel [9.36](Spannung: 21.6)
Gelber Wichtel LEROMI bearbeitet nun #98 
 --> Stacheliger Kaktus [16.27]
----------------------------------------
Runde 18
Blauer Wichtel FRITAZ bearbeitet nun #99 
 --> Schoko-Nikolaus [4.21](Gesund: Ja)
Roter Wichtel UMAUMAIOTI bearbeitet nun #100 
 --> Warme Socken [2.73](Eleganz: 12)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #101 
 --> Aromatischer Tee [11.46](Gesund: Nein)
Gelber Wichtel EORLKOROMI bearbeitet nun #102 
 --> Spannendes Buch [9.9]
Gelber Wichtel SETILEFRI bearbeitet nun #103 
 --> Schnelles Auto [21.61]
Roter Wichtel MUWEL bearbeitet nun #104 
 --> Niedliche Puppe [8.55](Spannung: 12.0)
----------------------------------------
Runde 19
Blauer Wichtel HATIHATI bearbeitet nun #105 
 --> Knusprige Kekse [1.7](Gesund: Nein)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #106 
 --> Knusprige Kekse [8.03](Gesund: Ja)
Blauer Wichtel LEEORL bearbeitet nun #107 
 --> Dicker Pullover [3.6](Eleganz: 15)
Roter Wichtel UMAUMAIOTI bearbeitet nun #108 
 --> Aromatischer Tee [6.06](Gesund: Ja)
----------------------------------------
Runde 20
Blauer Wichtel HATIHATI bearbeitet nun #109 
 --> Aromatischer Tee [5.38](Gesund: Nein)
Roter Wichtel SETITAZARI bearbeitet nun #110 
 --> Schoko-Nikolaus [3.54](Gesund: Nein)
Blauer Wichtel VARUMA bearbeitet nun #111 
 --> Aromatischer Tee [11.58](Gesund: Nein)
----------------------------------------
Runde 21
Blauer Wichtel NORBOR bearbeitet nun #112 
 --> Interessantes Brettspiel [8.12](Spannung: 19.2)
Blauer Wichtel FRITAZ bearbeitet nun #113 
 --> Stacheliger Kaktus [4.71]
----------------------------------------
Runde 22
Roter Wichtel SETITAZARI bearbeitet nun #114 
 --> Niedliche Puppe [5.53](Spannung: 7.5)
----------------------------------------
Runde 23
Blauer Wichtel HATIHATI bearbeitet nun #115 
 --> Knusprige Kekse [9.62](Gesund: Nein)
Blauer Wichtel TAZKOLE bearbeitet nun #116 
 --> Spannendes Buch [13.34]
Gelber Wichtel EORLNOR bearbeitet nun #117 
 --> Niedliche Puppe [7.49](Spannung: 10.5)
----------------------------------------
Runde 24
Blauer Wichtel ARIXUL bearbeitet nun #118 
 --> Schoko-Nikolaus [11.1](Gesund: Nein)
Roter Wichtel ARIBOR bearbeitet nun #119 
 --> Schoko-Nikolaus [8.32](Gesund: Ja)
Roter Wichtel UMAUMAIOTI bearbeitet nun #120 
 --> Thermo-Ski-Unterwaesche [1.53](Eleganz: 23)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #121 
 --> Spannendes Buch [2.29]
----------------------------------------
Runde 25
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #122 
 --> Interessantes Brettspiel [5.58](Spannung: 12.0)
Roter Wichtel UMAUMAIOTI bearbeitet nun #123 
 --> Schoko-Nikolaus [8.78](Gesund: Ja)
----------------------------------------
Runde 26
Roter Wichtel VARJOLA bearbeitet nun #124 
 --> Knusprige Kekse [0.69](Gesund: Ja)
Roter Wichtel IOTIDURZOTO bearbeitet nun #125 
 --> Niedliche Puppe [6.31](Spannung: 9.0)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #126 
 --> Rote Unterbuxe [0.48](Eleganz: 14)
Blauer Wichtel LEEORL bearbeitet nun #127 
 --> Schoko-Nikolaus [11.1](Gesund: Nein)
Blauer Wichtel VARUMA bearbeitet nun #128 
 --> Knusprige Kekse [14.21](Gesund: Ja)
Roter Wichtel ARIHATIXUL bearbeitet nun #129 
 --> Interessantes Brettspiel [0.02](Spannung: 0.0)
----------------------------------------
Runde 27
Roter Wichtel VARJOLA bearbeitet nun #130 
 --> Interessantes Brettspiel [9.45](Spannung: 21.6)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #131 
 --> Bequeme Hose [2.74](Eleganz: 12)
Gelber Wichtel CARUMANOR bearbeitet nun #132 
 --> Bequeme Hose [4.41](Eleganz: 12)
Roter Wichtel SETISETI bearbeitet nun #133 
 --> Spannendes Buch [8.71]
Roter Wichtel MUWEL bearbeitet nun #134 
 --> Niedliche Puppe [1.52](Spannung: 1.5)
Roter Wichtel ARIHATIXUL bearbeitet nun #135 
 --> Schnelles Auto [10.03]
----------------------------------------
Runde 28
Blauer Wichtel HATIHATI bearbeitet nun #136 
 --> Stacheliger Kaktus [8.57]
Roter Wichtel SETITAZARI bearbeitet nun #137 
 --> Niedliche Puppe [7.82](Spannung: 10.5)
Gelber Wichtel UMAHATI bearbeitet nun #138 
 --> Robuster Nussknacker [17.34]
Gelber Wichtel MUSETITAZ bearbeitet nun #139 
 --> Warme Socken [4.89](Eleganz: 12)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #140 
 --> Schoko-Nikolaus [12.87](Gesund: Ja)
Roter Wichtel SETIXUL bearbeitet nun #141 
 --> Schnelles Auto [4.08]
----------------------------------------
Runde 29
Blauer Wichtel FRITAZ bearbeitet nun #142 
 --> Stacheliger Kaktus [4.0]
Gelber Wichtel FRIJOLA bearbeitet nun #143 
 --> Warme Socken [1.48](Eleganz: 12)
Gelber Wichtel EORLKOROMI bearbeitet nun #144 
 --> Spannendes Buch [7.83]
Roter Wichtel MUWEL bearbeitet nun #145 
 --> Interessantes Brettspiel [3.85](Spannung: 7.2)
----------------------------------------
Runde 30
Blauer Wichtel XULLE bearbeitet nun #146 
 --> Rote Unterbuxe [3.82](Eleganz: 14)
Blauer Wichtel ARIXUL bearbeitet nun #147 
 --> Spannendes Buch [5.89]
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #148 
 --> Knusprige Kekse [11.83](Gesund: Nein)
----------------------------------------
Runde 31
Roter Wichtel ARIBOR bearbeitet nun #149 
 --> Warme Socken [0.26](Eleganz: 12)
Roter Wichtel SETIXUL bearbeitet nun #150 
 --> Schnelles Auto [13.53]
----------------------------------------
Runde 32
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #151 
 --> Niedliche Puppe [0.48](Spannung: 0.0)
Gelber Wichtel EORLNOR bearbeitet nun #152 
 --> Lange Struempfe [2.91](Eleganz: 15)
Blauer Wichtel LEEORL bearbeitet nun #153 
 --> Knusprige Kekse [2.3](Gesund: Ja)
Roter Wichtel ARIBOR bearbeitet nun #154 
 --> Interessantes Brettspiel [2.51](Spannung: 4.8)
Roter Wichtel UMAUMAIOTI bearbeitet nun #155 
 --> Niedliche Puppe [2.02](Spannung: 3.0)
----------------------------------------
Runde 33
Roter Wichtel IOTIDURZOTO bearbeitet nun #156 
 --> Schnelles Auto [1.84]
Blauer Wichtel XULVARBOR bearbeitet nun #157 
 --> Rote Unterbuxe [4.62](Eleganz: 14)
Blauer Wichtel NORBOR bearbeitet nun #158 
 --> Stacheliger Kaktus [22.1]
Gelber Wichtel FRIJOLA bearbeitet nun #159 
 --> Niedliche Puppe [2.99](Spannung: 3.0)
Roter Wichtel MUWEL bearbeitet nun #160 
 --> Niedliche Puppe [7.49](Spannung: 10.5)
----------------------------------------
Runde 34
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #161 
 --> Dicker Pullover [3.8](Eleganz: 15)
Roter Wichtel IOTIDURZOTO bearbeitet nun #162 
 --> Spannendes Buch [16.23]
Gelber Wichtel CARUMANOR bearbeitet nun #163 
 --> Aromatischer Tee [4.01](Gesund: Ja)
Blauer Wichtel LEEORL bearbeitet nun #164 
 --> Stacheliger Kaktus [23.5]
Roter Wichtel ARIBOR bearbeitet nun #165 
 --> Zipfelige Muetze [4.46](Eleganz: 16)
Blauer Wichtel VARUMA bearbeitet nun #166 
 --> Rote Unterbuxe [0.79](Eleganz: 14)
Roter Wichtel SETISETI bearbeitet nun #167 
 --> Rote Unterbuxe [0.64](Eleganz: 14)
----------------------------------------
Runde 35
Gelber Wichtel MUSETITAZ bearbeitet nun #168 
 --> Aromatischer Tee [14.36](Gesund: Ja)
Roter Wichtel UMAUMAIOTI bearbeitet nun #169 
 --> Dicker Pullover [0.08](Eleganz: 15)
Roter Wichtel SETISETI bearbeitet nun #170 
 --> Dicker Pullover [0.05](Eleganz: 15)
Gelber Wichtel LEROMI bearbeitet nun #171 
 --> Robuster Nussknacker [0.86]
----------------------------------------
Runde 36
Roter Wichtel VARJOLA bearbeitet nun #172 
 --> Zipfelige Muetze [2.49](Eleganz: 16)
Roter Wichtel SETITAZARI bearbeitet nun #173 
 --> Thermo-Ski-Unterwaesche [2.95](Eleganz: 23)
Roter Wichtel UMAUMAIOTI bearbeitet nun #174 
 --> Schnelles Auto [15.62]
Roter Wichtel SETISETI bearbeitet nun #175 
 --> Kuscheliger Schal [3.68](Eleganz: 17)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #176 
 --> Aromatischer Tee [1.03](Gesund: Nein)
Roter Wichtel ARIHATIXUL bearbeitet nun #177 
 --> Knusprige Kekse [9.93](Gesund: Nein)
----------------------------------------
Runde 37
Roter Wichtel VARJOLA bearbeitet nun #178 
 --> Bequeme Hose [3.21](Eleganz: 12)
Blauer Wichtel XULLE bearbeitet nun #179 
 --> Spannendes Buch [9.87]
Roter Wichtel SETITAZARI bearbeitet nun #180 
 --> Schnelles Auto [8.75]
Gelber Wichtel EORLNOR bearbeitet nun #181 
 --> Spannendes Buch [14.58]
Blauer Wichtel FRITAZ bearbeitet nun #182 
 --> Robuster Nussknacker [9.17]
Roter Wichtel ARIBOR bearbeitet nun #183 
 --> Stacheliger Kaktus [5.41]
Roter Wichtel SETISETI bearbeitet nun #184 
 --> Interessantes Brettspiel [1.41](Spannung: 2.4)
Gelber Wichtel FRIJOLA bearbeitet nun #185 
 --> Interessantes Brettspiel [8.01](Spannung: 19.2)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #186 
 --> Interessantes Brettspiel [1.3](Spannung: 2.4)
Gelber Wichtel LEROMI bearbeitet nun #187 
 --> Niedliche Puppe [6.12](Spannung: 9.0)
----------------------------------------
Runde 38
Blauer Wichtel VARUMA bearbeitet nun #188 
 --> Interessantes Brettspiel [2.28](Spannung: 4.8)
Gelber Wichtel EORLKOROMI bearbeitet nun #189 
 --> Interessantes Brettspiel [8.56](Spannung: 19.2)
----------------------------------------
Runde 39
Blauer Wichtel GEROSMU bearbeitet nun #190 
 --> Interessantes Brettspiel [5.86](Spannung: 12.0)
Roter Wichtel VARJOLA bearbeitet nun #191 
 --> Stacheliger Kaktus [12.73]
Roter Wichtel YIFIIOTIBOR bearbeitet nun #192 
 --> Schoko-Nikolaus [6.03](Gesund: Ja)
Blauer Wichtel ARIXUL bearbeitet nun #193 
 --> Robuster Nussknacker [3.14]
Roter Wichtel SETISETI bearbeitet nun #194 
 --> Zipfelige Muetze [4.46](Eleganz: 16)
----------------------------------------
Runde 40
Blauer Wichtel HATIHATI bearbeitet nun #195 
 --> Niedliche Puppe [9.06](Spannung: 13.5)
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #196 
 --> Knusprige Kekse [14.72](Gesund: Ja)
Blauer Wichtel TAZKOLE bearbeitet nun #197 
 --> Thermo-Ski-Unterwaesche [3.34](Eleganz: 23)
Gelber Wichtel CARUMANOR bearbeitet nun #198 
 --> Niedliche Puppe [8.73](Spannung: 12.0)
----------------------------------------
Runde 41
Blauer Wichtel XULVARBOR bearbeitet nun #199 
 --> Schoko-Nikolaus [11.73](Gesund: Nein)
Roter Wichtel ARIBOR bearbeitet nun #200 
 --> Schoko-Nikolaus [12.47](Gesund: Ja)
Gelber Wichtel SETILEFRI bearbeitet nun #201 
 --> Rote Unterbuxe [4.86](Eleganz: 14)
Roter Wichtel MUWEL bearbeitet nun #202 
 --> Interessantes Brettspiel [7.87](Spannung: 16.8)
----------------------------------------
Runde 42
Roter Wichtel SETISETI bearbeitet nun #203 
 --> Dicker Pullover [0.12](Eleganz: 15)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #204 
 --> Robuster Nussknacker [20.15]
----------------------------------------
Runde 43
Roter Wichtel SETISETI bearbeitet nun #205 
 --> Knusprige Kekse [4.1](Gesund: Ja)
Roter Wichtel SETIXUL bearbeitet nun #206 
 --> Niedliche Puppe [0.46](Spannung: 0.0)
----------------------------------------
Runde 44
Roter Wichtel SETITAZARI bearbeitet nun #207 
 --> Interessantes Brettspiel [4.7](Spannung: 9.6)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #208 
 --> Lange Struempfe [4.85](Eleganz: 15)
Blauer Wichtel VARUMA bearbeitet nun #209 
 --> Robuster Nussknacker [1.51]
Roter Wichtel SETIXUL bearbeitet nun #210 
 --> Dicker Pullover [4.06](Eleganz: 15)
Roter Wichtel ARIHATIXUL bearbeitet nun #211 
 --> Schnelles Auto [14.89]
----------------------------------------
Runde 45
Roter Wichtel SETISETI bearbeitet nun #212 
 --> Niedliche Puppe [2.39](Spannung: 3.0)
Gelber Wichtel LEROMI bearbeitet nun #213 
 --> Knusprige Kekse [7.57](Gesund: Nein)
----------------------------------------
Runde 46
Blauer Wichtel ARIXUL bearbeitet nun #214 
 --> Robuster Nussknacker [3.8]
----------------------------------------
Runde 47
Gelber Wichtel UMAHATI bearbeitet nun #215 
 --> Robuster Nussknacker [11.92]
Blauer Wichtel TAZKOLE bearbeitet nun #216 
 --> Thermo-Ski-Unterwaesche [4.89](Eleganz: 23)
Blauer Wichtel XULVARBOR bearbeitet nun #217 
 --> Interessantes Brettspiel [3.96](Spannung: 7.2)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #218 
 --> Knusprige Kekse [5.11](Gesund: Nein)
Gelber Wichtel FRIJOLA bearbeitet nun #219 
 --> Stacheliger Kaktus [15.24]
Roter Wichtel SETIXUL bearbeitet nun #220 
 --> Niedliche Puppe [0.3](Spannung: 0.0)
----------------------------------------
Runde 48
Blauer Wichtel GEROSMU bearbeitet nun #221 
 --> Rote Unterbuxe [2.39](Eleganz: 14)
Roter Wichtel SETISETI bearbeitet nun #222 
 --> Spannendes Buch [5.66]
Roter Wichtel SETIXUL bearbeitet nun #223 
 --> Spannendes Buch [2.46]
Gelber Wichtel EORLKOROMI bearbeitet nun #224 
 --> Rote Unterbuxe [2.74](Eleganz: 14)
Gelber Wichtel SETILEFRI bearbeitet nun #225 
 --> Kuscheliger Schal [0.63](Eleganz: 17)
----------------------------------------
Runde 49
Roter Wichtel SETITAZARI bearbeitet nun #226 
 --> Kuscheliger Schal [2.65](Eleganz: 17)
Roter Wichtel IOTIDURZOTO bearbeitet nun #227 
 --> Bequeme Hose [2.04](Eleganz: 12)
Blauer Wichtel VARUMA bearbeitet nun #228 
 --> Spannendes Buch [23.63]
Roter Wichtel UMAUMAIOTI bearbeitet nun #229 
 --> Kuscheliger Schal [0.63](Eleganz: 17)
Roter Wichtel SETIXUL bearbeitet nun #230 
 --> Rote Unterbuxe [3.03](Eleganz: 14)
Roter Wichtel MUWEL bearbeitet nun #231 
 --> Interessantes Brettspiel [0.12](Spannung: 0.0)
----------------------------------------
Runde 50
Roter Wichtel VARJOLA bearbeitet nun #232 
 --> Warme Socken [0.55](Eleganz: 12)
Blauer Wichtel XULLE bearbeitet nun #233 
 --> Interessantes Brettspiel [0.86](Spannung: 0.0)
Roter Wichtel SETITAZARI bearbeitet nun #234 
 --> Aromatischer Tee [4.97](Gesund: Ja)
Roter Wichtel IOTIDURZOTO bearbeitet nun #235 
 --> Stacheliger Kaktus [17.7]
Gelber Wichtel CARUMANOR bearbeitet nun #236 
 --> Aromatischer Tee [0.37](Gesund: Ja)
Blauer Wichtel FRITAZ bearbeitet nun #237 
 --> Niedliche Puppe [6.09](Spannung: 9.0)
Roter Wichtel UMAUMAIOTI bearbeitet nun #238 
 --> Bequeme Hose [3.89](Eleganz: 12)
Roter Wichtel MUWEL bearbeitet nun #239 
 --> Interessantes Brettspiel [9.26](Spannung: 21.6)
----------------------------------------
Runde 51
Roter Wichtel VARJOLA bearbeitet nun #240 
 --> Bequeme Hose [2.64](Eleganz: 12)
Gelber Wichtel MUSETITAZ bearbeitet nun #241 
 --> Knusprige Kekse [8.15](Gesund: Ja)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #242 
 --> Warme Socken [3.62](Eleganz: 12)
Roter Wichtel UMAUMAIOTI bearbeitet nun #243 
 --> Rote Unterbuxe [0.67](Eleganz: 14)
Roter Wichtel SETIXUL bearbeitet nun #244 
 --> Thermo-Ski-Unterwaesche [2.25](Eleganz: 23)
Gelber Wichtel SETILEFRI bearbeitet nun #245 
 --> Knusprige Kekse [2.67](Gesund: Ja)
----------------------------------------
Runde 52
Roter Wichtel VARJOLA bearbeitet nun #246 
 --> Zipfelige Muetze [0.92](Eleganz: 16)
Gelber Wichtel CARUMANOR bearbeitet nun #247 
 --> Niedliche Puppe [5.03](Spannung: 7.5)
Roter Wichtel ARIBOR bearbeitet nun #248 
 --> Lange Struempfe [4.48](Eleganz: 15)
Roter Wichtel UMAUMAIOTI bearbeitet nun #249 
 --> Knusprige Kekse [8.72](Gesund: Ja)
Roter Wichtel SETISETI bearbeitet nun #250 
 --> Interessantes Brettspiel [0.93](Spannung: 0.0)
Roter Wichtel SETIXUL bearbeitet nun #251 
 --> Knusprige Kekse [1.36](Gesund: Nein)
----------------------------------------
Runde 53
Blauer Wichtel HATIHATI bearbeitet nun #252 
 --> Niedliche Puppe [3.99](Spannung: 4.5)
Roter Wichtel VARJOLA bearbeitet nun #253 
 --> Zipfelige Muetze [0.93](Eleganz: 16)
Roter Wichtel SETITAZARI bearbeitet nun #254 
 --> Thermo-Ski-Unterwaesche [0.19](Eleganz: 23)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #255 
 --> Knusprige Kekse [1.96](Gesund: Nein)
Gelber Wichtel EORLNOR bearbeitet nun #256 
 --> Rote Unterbuxe [4.51](Eleganz: 14)
Blauer Wichtel ARIXUL bearbeitet nun #257 
 --> Niedliche Puppe [7.84](Spannung: 10.5)
Roter Wichtel SETISETI bearbeitet nun #258 
 --> Schoko-Nikolaus [5.37](Gesund: Nein)
Roter Wichtel SETIXUL bearbeitet nun #259 
 --> Spannendes Buch [14.43]
Gelber Wichtel EORLKOROMI bearbeitet nun #260 
 --> Warme Socken [1.32](Eleganz: 12)
----------------------------------------
Runde 54
Blauer Wichtel GEROSMU bearbeitet nun #261 
 --> Schnelles Auto [11.9]
Roter Wichtel VARJOLA bearbeitet nun #262 
 --> Spannendes Buch [9.68]
Blauer Wichtel XULLE bearbeitet nun #263 
 --> Spannendes Buch [13.38]
Roter Wichtel SETITAZARI bearbeitet nun #264 
 --> Knusprige Kekse [14.71](Gesund: Ja)
Blauer Wichtel XULVARBOR bearbeitet nun #265 
 --> Stacheliger Kaktus [9.01]
Roter Wichtel YIFIIOTIBOR bearbeitet nun #266 
 --> Lange Struempfe [3.58](Eleganz: 15)
Gelber Wichtel LEROMI bearbeitet nun #267 
 --> Stacheliger Kaktus [18.09]
----------------------------------------
Runde 55
Blauer Wichtel TAZKOLE bearbeitet nun #268 
 --> Spannendes Buch [9.03]
Roter Wichtel ARIBOR bearbeitet nun #269 
 --> Aromatischer Tee [8.25](Gesund: Ja)
Gelber Wichtel SETILEFRI bearbeitet nun #270 
 --> Dicker Pullover [1.76](Eleganz: 15)
----------------------------------------
Runde 56
Gelber Wichtel ZOTOIOTIWEL bearbeitet nun #271 
 --> Schnelles Auto [22.48]
Roter Wichtel YIFIIOTIBOR bearbeitet nun #272 
 --> Robuster Nussknacker [0.14]
----------------------------------------
Runde 57
Roter Wichtel YIFIIOTIBOR bearbeitet nun #273 
 --> Interessantes Brettspiel [8.6](Spannung: 19.2)
Roter Wichtel SETISETI bearbeitet nun #274 
 --> Robuster Nussknacker [17.05]
Gelber Wichtel EORLKOROMI bearbeitet nun #275 
 --> Interessantes Brettspiel [4.15](Spannung: 9.6)
Roter Wichtel ARIHATIXUL bearbeitet nun #276 
 --> Schnelles Auto [6.95]
----------------------------------------
Runde 58
Roter Wichtel UMAUMAIOTI bearbeitet nun #277 
 --> Knusprige Kekse [8.44](Gesund: Ja)
----------------------------------------
Runde 59
Gelber Wichtel CARUMANOR bearbeitet nun #278 
 --> Schoko-Nikolaus [9.95](Gesund: Nein)
Blauer Wichtel NORBOR bearbeitet nun #279 
 --> Schnelles Auto [23.15]
Gelber Wichtel SETILEFRI bearbeitet nun #280 
 --> Zipfelige Muetze [4.25](Eleganz: 16)
----------------------------------------
Runde 60
Blauer Wichtel HATIHATI bearbeitet nun #281 
 --> Stacheliger Kaktus [20.01]
Roter Wichtel VARJOLA bearbeitet nun #282 
 --> Knusprige Kekse [9.0](Gesund: Nein)
Gelber Wichtel UMAHATI bearbeitet nun #283 
 --> Aromatischer Tee [3.01](Gesund: Nein)
Gelber Wichtel EORLNOR bearbeitet nun #284 
 --> Schoko-Nikolaus [7.26](Gesund: Nein)
Blauer Wichtel FRITAZ bearbeitet nun #285 
 --> Spannendes Buch [21.86]
Roter Wichtel MUWEL bearbeitet nun #286 
 --> Interessantes Brettspiel [6.65](Spannung: 14.4)
----------------------------------------
Runde 61
Gelber Wichtel MUSETITAZ bearbeitet nun #287 
 --> Warme Socken [2.85](Eleganz: 12)
Blauer Wichtel LEEORL bearbeitet nun #288 
 --> Niedliche Puppe [7.65](Spannung: 10.5)
----------------------------------------
Runde 62
Roter Wichtel ARIBOR bearbeitet nun #289 
 --> Dicker Pullover [3.41](Eleganz: 15)
Roter Wichtel ARIHATIXUL bearbeitet nun #290 
 --> Schnelles Auto [4.45]
----------------------------------------
Runde 63
Gelber Wichtel EORLKOROMI bearbeitet nun #291 
 --> Aromatischer Tee [0.8](Gesund: Ja)
----------------------------------------
Runde 64
Blauer Wichtel ARIXUL bearbeitet nun #292 
 --> Schnelles Auto [16.01]
Roter Wichtel ARIBOR bearbeitet nun #293 
 --> Rote Unterbuxe [4.25](Eleganz: 14)
Gelber Wichtel FRIJOLA bearbeitet nun #294 
 --> Niedliche Puppe [9.34](Spannung: 13.5)
----------------------------------------
Runde 65
Gelber Wichtel UMAHATI bearbeitet nun #295 
 --> Lange Struempfe [4.8](Eleganz: 15)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #296 
 --> Niedliche Puppe [3.73](Spannung: 4.5)
Roter Wichtel UMAUMAIOTI bearbeitet nun #297 
 --> Interessantes Brettspiel [4.9](Spannung: 9.6)
Gelber Wichtel EORLKOROMI bearbeitet nun #298 
 --> Knusprige Kekse [3.74](Gesund: Nein)
Roter Wichtel ARIHATIXUL bearbeitet nun #299 
 --> Schoko-Nikolaus [13.45](Gesund: Nein)
----------------------------------------
Runde 66
Roter Wichtel SETITAZARI bearbeitet nun #300 
 --> Zipfelige Muetze [2.14](Eleganz: 16)
Roter Wichtel IOTIDURZOTO bearbeitet nun #301 
 --> Interessantes Brettspiel [5.09](Spannung: 12.0)
Gelber Wichtel MUSETITAZ bearbeitet nun #302 
 --> Spannendes Buch [12.25]
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #303 
 --> Interessantes Brettspiel [7.88](Spannung: 16.8)
Roter Wichtel SETIXUL bearbeitet nun #304 
 --> Niedliche Puppe [7.56](Spannung: 10.5)
Gelber Wichtel SETILEFRI bearbeitet nun #305 
 --> Kuscheliger Schal [3.68](Eleganz: 17)
----------------------------------------
Runde 67
Roter Wichtel SETITAZARI bearbeitet nun #306 
 --> Spannendes Buch [23.37]
Blauer Wichtel XULVARBOR bearbeitet nun #307 
 --> Schnelles Auto [13.56]
Roter Wichtel ARIBOR bearbeitet nun #308 
 --> Schoko-Nikolaus [3.75](Gesund: Nein)
Roter Wichtel MUWEL bearbeitet nun #309 
 --> Knusprige Kekse [2.29](Gesund: Ja)
----------------------------------------
Runde 68
Roter Wichtel VARJOLA bearbeitet nun #310 
 --> Stacheliger Kaktus [6.27]
Blauer Wichtel TAZKOLE bearbeitet nun #311 
 --> Schoko-Nikolaus [13.33](Gesund: Nein)
Roter Wichtel MUWEL bearbeitet nun #312 
 --> Thermo-Ski-Unterwaesche [1.57](Eleganz: 23)
----------------------------------------
Runde 69
Blauer Wichtel GEROSMU bearbeitet nun #313 
 --> Zipfelige Muetze [0.23](Eleganz: 16)
Roter Wichtel YIFIIOTIBOR bearbeitet nun #314 
 --> Niedliche Puppe [9.97](Spannung: 13.5)
Gelber Wichtel EORLNOR bearbeitet nun #315 
 --> Thermo-Ski-Unterwaesche [2.49](Eleganz: 23)
Roter Wichtel ARIBOR bearbeitet nun #316 
 --> Rote Unterbuxe [2.91](Eleganz: 14)
Roter Wichtel MUWEL bearbeitet nun #317 
 --> Aromatischer Tee [9.08](Gesund: Nein)
----------------------------------------
Runde 70
Gelber Wichtel CARUMANOR bearbeitet nun #318 
 --> Interessantes Brettspiel [6.4](Spannung: 14.4)
Roter Wichtel ARIBOR bearbeitet nun #319 
 --> Interessantes Brettspiel [7.95](Spannung: 16.8)
Roter Wichtel UMAUMAIOTI bearbeitet nun #320 
 --> Robuster Nussknacker [19.09]
Gelber Wichtel EORLKOROMI bearbeitet nun #321 
 --> Spannendes Buch [19.86]
----------------------------------------
Runde 71
Blauer Wichtel XULLE bearbeitet nun #322 
 --> Kuscheliger Schal [4.57](Eleganz: 17)
----------------------------------------
Runde 72
Gelber Wichtel UMAHATI bearbeitet nun #323 
 --> Stacheliger Kaktus [4.55]
Roter Wichtel IOTIDURZOTO bearbeitet nun #324 
 --> Stacheliger Kaktus [21.48]
Blauer Wichtel LEEORL bearbeitet nun #325 
 --> Aromatischer Tee [9.74](Gesund: Nein)
Gelber Wichtel SETILEFRI bearbeitet nun #326 
 --> Interessantes Brettspiel [8.48](Spannung: 19.2)
----------------------------------------
Runde 73
Blauer Wichtel GEROSMU bearbeitet nun #327 
 --> Zipfelige Muetze [1.32](Eleganz: 16)
Roter Wichtel VARJOLA bearbeitet nun #328 
 --> Schnelles Auto [16.27]
Roter Wichtel SETISETI bearbeitet nun #329 
 --> Schoko-Nikolaus [6.63](Gesund: Ja)
----------------------------------------
Runde 74
Gelber Wichtel EORLNOR bearbeitet nun #330 
 --> Niedliche Puppe [8.14](Spannung: 12.0)
Gelber Wichtel LEROMI bearbeitet nun #331 
 --> Schoko-Nikolaus [14.61](Gesund: Ja)
Roter Wichtel SETIXUL bearbeitet nun #332 
 --> Interessantes Brettspiel [6.72](Spannung: 14.4)
----------------------------------------
Runde 75
Blauer Wichtel TAZKOLE bearbeitet nun #333 
 --> Lange Struempfe [2.85](Eleganz: 15)
Gelber Wichtel FRIJOLA bearbeitet nun #334 
 --> Dicker Pullover [2.41](Eleganz: 15)
----------------------------------------
Runde 76
Blauer Wichtel VARUMA bearbeitet nun #335 
 --> Schoko-Nikolaus [8.86](Gesund: Ja)
----------------------------------------
Runde 77
Blauer Wichtel LEEORL bearbeitet nun #336 
 --> Kuscheliger Schal [1.57](Eleganz: 17)
Blauer Wichtel ZOTOXULJOLA bearbeitet nun #337 
 --> Aromatischer Tee [2.69](Gesund: Ja)
Roter Wichtel MUWEL bearbeitet nun #338 
 --> Interessantes Brettspiel [0.92](Spannung: 0.0)
Roter Wichtel ARIHATIXUL bearbeitet nun #339 
 --> Knusprige Kekse [2.28](Gesund: Ja)
----------------------------------------
Runde 78
Blauer Wichtel GEROSMU bearbeitet nun #340 
 --> Spannendes Buch [9.15]
Gelber Wichtel UMAHATI bearbeitet nun #341 
 --> Interessantes Brettspiel [3.81](Spannung: 7.2)
Gelber Wichtel CARUMANOR bearbeitet nun #342 
 --> Niedliche Puppe [3.29](Spannung: 4.5)
